year,city,country,avg_temp
1832,Curitiba,Brazil,16.60
1833,Curitiba,Brazil,17.48
1834,Curitiba,Brazil,16.95
1835,Curitiba,Brazil,16.28
1836,Curitiba,Brazil,16.56
1837,Curitiba,Brazil,16.08
1838,Curitiba,Brazil,16.42
1839,Curitiba,Brazil,16.30
1840,Curitiba,Brazil,16.86
1841,Curitiba,Brazil,16.59
1842,Curitiba,Brazil,17.01
1843,Curitiba,Brazil,17.14
1844,Curitiba,Brazil,
1845,Curitiba,Brazil,
1846,Curitiba,Brazil,
1847,Curitiba,Brazil,
1848,Curitiba,Brazil,
1849,Curitiba,Brazil,
1850,Curitiba,Brazil,
1851,Curitiba,Brazil,17.12
1852,Curitiba,Brazil,17.21
1853,Curitiba,Brazil,17.21
1854,Curitiba,Brazil,17.33
1855,Curitiba,Brazil,17.26
1856,Curitiba,Brazil,16.59
1857,Curitiba,Brazil,17.14
1858,Curitiba,Brazil,16.26
1859,Curitiba,Brazil,16.86
1860,Curitiba,Brazil,17.26
1861,Curitiba,Brazil,16.73
1862,Curitiba,Brazil,16.78
1863,Curitiba,Brazil,16.63
1864,Curitiba,Brazil,16.76
1865,Curitiba,Brazil,16.87
1866,Curitiba,Brazil,16.92
1867,Curitiba,Brazil,16.95
1868,Curitiba,Brazil,17.76
1869,Curitiba,Brazil,17.54
1870,Curitiba,Brazil,17.58
1871,Curitiba,Brazil,17.18
1872,Curitiba,Brazil,17.27
1873,Curitiba,Brazil,17.48
1874,Curitiba,Brazil,16.66
1875,Curitiba,Brazil,16.48
1876,Curitiba,Brazil,16.75
1877,Curitiba,Brazil,17.68
1878,Curitiba,Brazil,17.45
1879,Curitiba,Brazil,16.54
1880,Curitiba,Brazil,17.17
1881,Curitiba,Brazil,16.97
1882,Curitiba,Brazil,16.40
1883,Curitiba,Brazil,16.67
1884,Curitiba,Brazil,16.68
1885,Curitiba,Brazil,17.58
1886,Curitiba,Brazil,16.69
1887,Curitiba,Brazil,17.14
1888,Curitiba,Brazil,17.71
1889,Curitiba,Brazil,17.54
1890,Curitiba,Brazil,16.68
1891,Curitiba,Brazil,17.27
1892,Curitiba,Brazil,16.84
1893,Curitiba,Brazil,16.17
1894,Curitiba,Brazil,17.02
1895,Curitiba,Brazil,17.34
1896,Curitiba,Brazil,17.39
1897,Curitiba,Brazil,17.43
1898,Curitiba,Brazil,17.01
1899,Curitiba,Brazil,17.64
1900,Curitiba,Brazil,17.65
1901,Curitiba,Brazil,16.96
1902,Curitiba,Brazil,17.76
1903,Curitiba,Brazil,17.26
1904,Curitiba,Brazil,16.79
1905,Curitiba,Brazil,17.16
1906,Curitiba,Brazil,17.28
1907,Curitiba,Brazil,16.89
1908,Curitiba,Brazil,16.76
1909,Curitiba,Brazil,16.53
1910,Curitiba,Brazil,16.93
1911,Curitiba,Brazil,16.55
1912,Curitiba,Brazil,17.13
1913,Curitiba,Brazil,17.46
1914,Curitiba,Brazil,18.10
1915,Curitiba,Brazil,17.72
1916,Curitiba,Brazil,17.12
1917,Curitiba,Brazil,16.15
1918,Curitiba,Brazil,17.14
1919,Curitiba,Brazil,17.85
1920,Curitiba,Brazil,17.44
1921,Curitiba,Brazil,17.06
1922,Curitiba,Brazil,17.41
1923,Curitiba,Brazil,17.31
1924,Curitiba,Brazil,16.68
1925,Curitiba,Brazil,17.31
1926,Curitiba,Brazil,17.68
1927,Curitiba,Brazil,17.32
1928,Curitiba,Brazil,17.70
1929,Curitiba,Brazil,17.26
1930,Curitiba,Brazil,17.72
1931,Curitiba,Brazil,17.10
1932,Curitiba,Brazil,17.88
1933,Curitiba,Brazil,17.02
1934,Curitiba,Brazil,17.66
1935,Curitiba,Brazil,17.50
1936,Curitiba,Brazil,17.86
1937,Curitiba,Brazil,17.27
1938,Curitiba,Brazil,17.48
1939,Curitiba,Brazil,17.59
1940,Curitiba,Brazil,18.11
1941,Curitiba,Brazil,17.49
1942,Curitiba,Brazil,16.94
1943,Curitiba,Brazil,17.22
1944,Curitiba,Brazil,17.70
1945,Curitiba,Brazil,17.45
1946,Curitiba,Brazil,17.45
1947,Curitiba,Brazil,17.01
1948,Curitiba,Brazil,17.54
1949,Curitiba,Brazil,17.46
1950,Curitiba,Brazil,17.63
1951,Curitiba,Brazil,17.02
1952,Curitiba,Brazil,17.56
1953,Curitiba,Brazil,17.68
1954,Curitiba,Brazil,17.79
1955,Curitiba,Brazil,17.29
1956,Curitiba,Brazil,16.96
1957,Curitiba,Brazil,17.40
1958,Curitiba,Brazil,17.99
1959,Curitiba,Brazil,18.07
1960,Curitiba,Brazil,17.35
1961,Curitiba,Brazil,18.32
1962,Curitiba,Brazil,16.79
1963,Curitiba,Brazil,18.18
1964,Curitiba,Brazil,17.12
1965,Curitiba,Brazil,17.66
1966,Curitiba,Brazil,17.82
1967,Curitiba,Brazil,18.03
1968,Curitiba,Brazil,17.09
1969,Curitiba,Brazil,17.67
1970,Curitiba,Brazil,17.66
1971,Curitiba,Brazil,17.33
1972,Curitiba,Brazil,17.61
1973,Curitiba,Brazil,17.85
1974,Curitiba,Brazil,17.41
1975,Curitiba,Brazil,17.58
1976,Curitiba,Brazil,17.08
1977,Curitiba,Brazil,18.64
1978,Curitiba,Brazil,17.82
1979,Curitiba,Brazil,17.20
1980,Curitiba,Brazil,17.88
1981,Curitiba,Brazil,17.73
1982,Curitiba,Brazil,17.97
1983,Curitiba,Brazil,17.75
1984,Curitiba,Brazil,18.15
1985,Curitiba,Brazil,18.06
1986,Curitiba,Brazil,18.24
1987,Curitiba,Brazil,17.75
1988,Curitiba,Brazil,17.59
1989,Curitiba,Brazil,17.22
1990,Curitiba,Brazil,17.77
1991,Curitiba,Brazil,17.95
1992,Curitiba,Brazil,17.80
1993,Curitiba,Brazil,17.93
1994,Curitiba,Brazil,18.42
1995,Curitiba,Brazil,18.27
1996,Curitiba,Brazil,17.83
1997,Curitiba,Brazil,18.36
1998,Curitiba,Brazil,18.20
1999,Curitiba,Brazil,17.66
2000,Curitiba,Brazil,18.01
2001,Curitiba,Brazil,18.67
2002,Curitiba,Brazil,19.09
2003,Curitiba,Brazil,18.26
2004,Curitiba,Brazil,17.88
2005,Curitiba,Brazil,18.53
2006,Curitiba,Brazil,18.47
2007,Curitiba,Brazil,18.66
2008,Curitiba,Brazil,17.88
2009,Curitiba,Brazil,18.38
2010,Curitiba,Brazil,18.18
2011,Curitiba,Brazil,18.01
2012,Curitiba,Brazil,18.80
2013,Curitiba,Brazil,17.57
